TCGA,PROTEIN_A,GENE_A,PROTEIN_GENE_B,GENERAL_OCCURRENCE,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION
BRCA,P04626,ERBB2,Q96SB4:SRPK1,7,7,"{'TCGA-D8-A1XM', 'TCGA-A8-A0A6', 'TCGA-A8-A0AB', 'TCGA-AC-A3YI', 'TCGA-BH-A18P', 'TCGA-A2-A0T6', 'TCGA-LL-A740'}",0,set(),0,set()
BRCA,P04626,ERBB2,P00533:EGFR,2,2,"{'TCGA-A2-A3XV', 'TCGA-AN-A046'}",0,set(),0,set()
BRCA,P04626,ERBB2,P51813:BMX,2,2,"{'TCGA-E9-A1R5', 'TCGA-BH-A1FE'}",1,{'TCGA-B6-A0RU'},0,set()
BRCA,P04626,ERBB2,Q14289:PTK2B,2,2,"{'TCGA-E9-A1R5', 'TCGA-BH-A1FE'}",0,set(),0,set()
BRCA,P04626,ERBB2,P16591:FER,2,2,"{'TCGA-E9-A1R5', 'TCGA-BH-A1FE'}",0,set(),0,set()
BRCA,P04626,ERBB2,P06241:FYN,2,2,"{'TCGA-E9-A1R5', 'TCGA-BH-A1FE'}",0,set(),0,set()
BRCA,P04626,ERBB2,P08069:IGF1R,2,2,"{'TCGA-E9-A1R5', 'TCGA-BH-A1FE'}",0,set(),0,set()
BRCA,P04626,ERBB2,Q13153:PAK1,2,2,"{'TCGA-E9-A1R5', 'TCGA-BH-A1FE'}",0,set(),0,set()
BRCA,P04626,ERBB2,P42680:TEC,2,2,"{'TCGA-E9-A1R5', 'TCGA-BH-A1FE'}",0,set(),0,set()
BRCA,P04626,ERBB2,P21860:ERBB3,1,1,{'TCGA-LL-A740'},3,"{'TCGA-A1-A0SF', 'TCGA-EW-A1IZ', 'TCGA-A8-A09G'}",0,set()
BRCA,P04626,ERBB2,O60674:JAK2,1,1,{'TCGA-LL-A740'},0,set(),0,set()
BRCA,P04626,ERBB2,P15153:RAC2,1,1,{'TCGA-LL-A740'},0,set(),0,set()
BRCA,P04626,ERBB2,Q9UJM3:ERRFI1,1,1,{'TCGA-LL-A740'},0,set(),0,set()
BRCA,P04626,ERBB2,Q92625:ANKS1A,1,1,{'TCGA-AO-A128'},0,set(),0,set()
BRCA,P04626,ERBB2,P23458:JAK1,1,1,{'TCGA-AO-A128'},0,set(),0,set()
