TCGA,PROTEIN_A,GENE_A,PROTEIN_GENE_B,GENERAL_OCCURRENCE,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION
COAD,O00238,BMPR1B,Q13153:PAK1,2,2,"{'TCGA-AA-3833', 'TCGA-AA-3984'}",0,set(),0,set()
COAD,O00238,BMPR1B,P37173:TGFBR2,1,1,{'TCGA-G4-6320'},2,"{'TCGA-AA-A03F', 'TCGA-AD-6964'}",0,set()
COAD,O00238,BMPR1B,Q13873:BMPR2,1,1,{'TCGA-AD-5900'},0,set(),0,set()
COAD,O00238,BMPR1B,P22004:BMP6,1,1,{'TCGA-DM-A1HA'},0,set(),0,set()
COAD,O00238,BMPR1B,P18075:BMP7,1,1,{'TCGA-DM-A1HA'},0,set(),0,set()
COAD,O00238,BMPR1B,P43026:GDF5,1,1,{'TCGA-DM-A1HA'},0,set(),0,set()
COAD,O00238,BMPR1B,O60383:GDF9,1,1,{'TCGA-DM-A1HA'},0,set(),0,set()
COAD,O00238,BMPR1B,O95972:BMP15,1,1,{'TCGA-DM-A1HA'},0,set(),0,set()
COAD,O00238,BMPR1B,P12643:BMP2,1,1,{'TCGA-DM-A1HA'},0,set(),0,set()
COAD,O00238,BMPR1B,P12644:BMP4,1,1,{'TCGA-DM-A1HA'},0,set(),0,set()
COAD,O00238,BMPR1B,Q6KF10:GDF6,1,1,{'TCGA-DM-A1HA'},1,{'TCGA-CK-4951'},0,set()
COAD,O00238,BMPR1B,C8C060:BMP2,1,1,{'TCGA-DM-A1HA'},0,set(),0,set()
COAD,O00238,BMPR1B,F1T0J1:GDF5,1,1,{'TCGA-DM-A1HA'},0,set(),0,set()
COAD,O00238,BMPR1B,P36894:BMPR1A,1,1,{'TCGA-AA-A00N'},0,set(),0,set()
