TCGA,PROTEIN_A,GENE_A,PROTEIN_GENE_B,GENERAL_OCCURRENCE,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION
COAD,P19784,CSNK2A2,Q16539:MAPK14,4,4,"{'TCGA-CA-6717', 'TCGA-AA-A022', 'TCGA-AA-3715', 'TCGA-A6-2674'}",0,set(),0,set()
COAD,P19784,CSNK2A2,Q13153:PAK1,4,4,"{'TCGA-AA-3693', 'TCGA-AA-3811', 'TCGA-F4-6570', 'TCGA-G4-6588'}",2,"{'TCGA-AZ-4315', 'TCGA-CM-4751'}",0,set()
COAD,P19784,CSNK2A2,P67870:CSNK2B,2,2,"{'TCGA-CA-6717', 'TCGA-AA-3715'}",0,set(),0,set()
COAD,P19784,CSNK2A2,N0E4C7:CSNK2B,2,2,"{'TCGA-CA-6717', 'TCGA-AA-3715'}",0,set(),0,set()
COAD,P19784,CSNK2A2,P36897:TGFBR1,1,1,{'TCGA-A6-2674'},0,set(),0,set()
COAD,P19784,CSNK2A2,P68400:CSNK2A1,1,1,{'TCGA-AA-3693'},0,set(),0,set()
COAD,P19784,CSNK2A2,P24941:CDK2,1,1,{'TCGA-G4-6588'},1,{'TCGA-AA-3994'},0,set()
COAD,P19784,CSNK2A2,Q96S94:CCNL2,1,1,{'TCGA-G4-6588'},0,set(),0,set()
COAD,P19784,CSNK2A2,P21127:CDK11B,1,1,{'TCGA-G4-6588'},0,set(),0,set()
COAD,P19784,CSNK2A2,Q9NZU7:CABP1,1,1,{'TCGA-A6-3809'},0,set(),0,set()
