TCGA,PROTEIN_A,GENE_A,PROTEIN_GENE_B,GENERAL_OCCURRENCE,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION
COAD,P61244,MAX,Q05195:MXD1,4,4,"{'TCGA-F4-6461', 'TCGA-CA-6717', 'TCGA-AD-6895', 'TCGA-AZ-5407'}",1,{'TCGA-A6-5661'},0,set()
COAD,P61244,MAX,P22415:USF1,3,3,"{'TCGA-F4-6461', 'TCGA-CA-6717', 'TCGA-AZ-5407'}",0,set(),0,set()
COAD,P61244,MAX,Q14582:MXD4,3,3,"{'TCGA-F4-6461', 'TCGA-CA-6717', 'TCGA-AZ-5407'}",0,set(),0,set()
COAD,P61244,MAX,P01106:MYC,3,3,"{'TCGA-F4-6461', 'TCGA-CA-6717', 'TCGA-AZ-5407'}",0,set(),0,set()
COAD,P61244,MAX,B9EGR5:MGA,3,3,"{'TCGA-F4-6461', 'TCGA-CA-6717', 'TCGA-AZ-5407'}",0,set(),0,set()
COAD,P61244,MAX,Q8TAX8:MAX,3,3,"{'TCGA-F4-6461', 'TCGA-CA-6717', 'TCGA-AZ-5407'}",0,set(),0,set()
COAD,P61244,MAX,Q9BW11:MXD3,1,1,{'TCGA-CA-6717'},0,set(),0,set()
COAD,P61244,MAX,Q8IWI9:MGA,1,1,{'TCGA-CA-6717'},0,set(),0,set()
COAD,P61244,MAX,P04198:MYCN,1,1,{'TCGA-CA-6717'},0,set(),0,set()
COAD,P61244,MAX,Q99583:MNT,1,1,{'TCGA-CA-6717'},0,set(),0,set()
COAD,P61244,MAX,P50539:MXI1,1,1,{'TCGA-CA-6717'},0,set(),0,set()
COAD,P61244,MAX,B7ZLI7:MXD1,1,1,{'TCGA-CA-6717'},0,set(),0,set()
