TCGA,PROTEIN_A,GENE_A,PROTEIN_GENE_B,GENERAL_OCCURRENCE,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION
COAD,P61586,RHOA,Q96N67:DOCK7,5,5,"{'TCGA-AA-A01P', 'TCGA-AA-A01R', 'TCGA-AA-3845', 'TCGA-AD-6895', 'TCGA-F4-6856'}",0,set(),0,set()
COAD,P61586,RHOA,Q86VW2:ARHGEF25,4,4,"{'TCGA-AA-A01P', 'TCGA-AA-3845', 'TCGA-AD-6895', 'TCGA-AA-A01R'}",1,{'TCGA-AA-3715'},0,set()
COAD,P61586,RHOA,P52565:ARHGDIA,4,4,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AA-3845', 'TCGA-AD-6895'}",0,set(),0,set()
COAD,P61586,RHOA,O15068:MCF2L,4,4,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AA-3845', 'TCGA-AD-6895'}",0,set(),0,set()
COAD,P61586,RHOA,O75962:TRIO,4,4,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AA-3845', 'TCGA-AD-6895'}",0,set(),0,set()
COAD,P61586,RHOA,P15498:VAV1,4,4,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AA-3845', 'TCGA-AD-6895'}",1,{'TCGA-AA-3950'},0,set()
COAD,P61586,RHOA,Q07960:ARHGAP1,3,3,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AD-6895'}",0,set(),0,set()
COAD,P61586,RHOA,Q9Y3L3:SH3BP1,3,3,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AD-6895'}",0,set(),0,set()
COAD,P61586,RHOA,Q9NR81:ARHGEF3,3,3,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AD-6895'}",0,set(),0,set()
COAD,P61586,RHOA,P11274:BCR,3,3,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AD-6895'}",1,{'TCGA-D5-6530'},0,set()
COAD,P61586,RHOA,Q9NSV4:DIAPH3,3,3,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AD-6895'}",0,set(),0,set()
COAD,P61586,RHOA,P52566:ARHGDIB,3,3,"{'TCGA-AA-A01P', 'TCGA-AA-3845', 'TCGA-AD-6895'}",1,{'TCGA-AA-3679'},0,set()
COAD,P61586,RHOA,Q99819:ARHGDIG,3,3,"{'TCGA-AA-A01P', 'TCGA-AA-3845', 'TCGA-AD-6895'}",0,set(),0,set()
COAD,P61586,RHOA,P10911:MCF2,3,3,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AD-6895'}",0,set(),0,set()
COAD,P61586,RHOA,Q9H7P9:PLEKHG2,3,3,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AD-6895'}",0,set(),0,set()
COAD,P61586,RHOA,O43157:PLXNB1,3,3,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AD-6895'}",0,set(),0,set()
COAD,P61586,RHOA,P85298:ARHGAP8,3,3,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AD-6895'}",0,set(),0,set()
COAD,P61586,RHOA,Q5T5U3:ARHGAP21,3,3,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AD-6895'}",0,set(),0,set()
COAD,P61586,RHOA,Q13017:ARHGAP5,3,3,"{'TCGA-AA-A01P', 'TCGA-AA-3845', 'TCGA-AD-6895'}",0,set(),0,set()
COAD,P61586,RHOA,Q13464:ROCK1,3,3,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AD-6895'}",0,set(),0,set()
COAD,P61586,RHOA,O60610:DIAPH1,3,3,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AD-6895'}",0,set(),0,set()
COAD,P61586,RHOA,Q9NZN5:ARHGEF12,2,2,"{'TCGA-AA-A01P', 'TCGA-AD-6895'}",0,set(),0,set()
COAD,P61586,RHOA,Q9Y4D1:DAAM1,2,2,"{'TCGA-AA-A01P', 'TCGA-AD-6895'}",0,set(),0,set()
COAD,P61586,RHOA,O60890:OPHN1,2,2,"{'TCGA-AA-A01P', 'TCGA-AD-6895'}",0,set(),0,set()
COAD,P61586,RHOA,Q13972:RASGRF1,2,2,"{'TCGA-AA-A01P', 'TCGA-AD-6895'}",0,set(),0,set()
COAD,P61586,RHOA,Q9UNA1:ARHGAP26,2,2,"{'TCGA-AA-A01P', 'TCGA-AD-6895'}",0,set(),0,set()
COAD,P61586,RHOA,A7KAX9:ARHGAP32,2,2,"{'TCGA-AA-A01P', 'TCGA-AD-6895'}",0,set(),0,set()
COAD,P61586,RHOA,Q9UKW4:VAV3,2,2,"{'TCGA-AA-A01P', 'TCGA-AD-6895'}",0,set(),0,set()
COAD,P61586,RHOA,Q7Z628:NET1,2,2,"{'TCGA-AA-A01P', 'TCGA-AD-6895'}",0,set(),0,set()
COAD,P61586,RHOA,Q12774:ARHGEF5,1,1,{'TCGA-F4-6856'},0,set(),0,set()
COAD,P61586,RHOA,O43924:PDE6D,1,1,{'TCGA-AA-A01R'},0,set(),0,set()
COAD,P61586,RHOA,Q9NR80:ARHGEF4,1,1,{'TCGA-AA-A01R'},0,set(),0,set()
