TCGA,PROTEIN_A,GENE_A,PROTEIN_GENE_B,GENERAL_OCCURRENCE,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION
COAD,P62805,H4C1,P68431:H3C1,9,9,"{'TCGA-AA-A00N', 'TCGA-DM-A28G', 'TCGA-AA-3845', 'TCGA-CA-6718', 'TCGA-5M-AAT4', 'TCGA-AM-5821', 'TCGA-CA-5256', 'TCGA-DM-A28C', 'TCGA-A6-2686'}",2,"{'TCGA-AA-A01C', 'TCGA-AA-3864'}",0,set()
COAD,P62805,H4C1,P84243:H3-3A,8,8,"{'TCGA-AA-A00N', 'TCGA-DM-A28G', 'TCGA-AA-3845', 'TCGA-CA-6718', 'TCGA-5M-AAT4', 'TCGA-AM-5821', 'TCGA-DM-A28C', 'TCGA-A6-2686'}",0,set(),0,set()
COAD,P62805,H4C1,Q16695:H3-4,8,8,"{'TCGA-AA-A00N', 'TCGA-DM-A28G', 'TCGA-AA-3845', 'TCGA-CA-6718', 'TCGA-5M-AAT4', 'TCGA-AM-5821', 'TCGA-DM-A28C', 'TCGA-A6-2686'}",1,{'TCGA-AA-A010'},0,set()
COAD,P62805,H4C1,Q71DI3:H3C15,8,8,"{'TCGA-AA-A00N', 'TCGA-DM-A28G', 'TCGA-AA-3845', 'TCGA-CA-6718', 'TCGA-5M-AAT4', 'TCGA-AM-5821', 'TCGA-DM-A28C', 'TCGA-A6-2686'}",0,set(),0,set()
COAD,P62805,H4C1,P49450:CENPA,7,7,"{'TCGA-DM-A28G', 'TCGA-AA-3845', 'TCGA-CA-6718', 'TCGA-5M-AAT4', 'TCGA-AM-5821', 'TCGA-DM-A28C', 'TCGA-A6-2686'}",0,set(),0,set()
COAD,P62805,H4C1,Q53F85:nan,5,5,"{'TCGA-AA-A00N', 'TCGA-F4-6463', 'TCGA-DM-A28G', 'TCGA-AZ-6600', 'TCGA-DM-A28C'}",0,set(),0,set()
COAD,P62805,H4C1,Q9UER7:DAXX,4,4,"{'TCGA-DM-A28C', 'TCGA-AA-A00N', 'TCGA-AZ-6600', 'TCGA-DM-A28G'}",0,set(),0,set()
COAD,P62805,H4C1,Q8NCD3:HJURP,4,4,"{'TCGA-AA-3685', 'TCGA-D5-6930', 'TCGA-CA-6718', 'TCGA-AA-3715'}",0,set(),0,set()
COAD,P62805,H4C1,Q16514:TAF12,2,2,"{'TCGA-F4-6463', 'TCGA-AZ-6600'}",0,set(),0,set()
COAD,P62805,H4C1,P06899:H2BC11,2,2,"{'TCGA-F4-6463', 'TCGA-AZ-6600'}",0,set(),0,set()
COAD,P62805,H4C1,Q16778:H2BC21,2,2,"{'TCGA-F4-6463', 'TCGA-AZ-6600'}",0,set(),0,set()
COAD,P62805,H4C1,P04908:H2AC4,2,2,"{'TCGA-A6-4105', 'TCGA-DM-A28G'}",0,set(),0,set()
COAD,P62805,H4C1,P16104:H2AX,2,2,"{'TCGA-A6-4105', 'TCGA-DM-A28G'}",0,set(),0,set()
COAD,P62805,H4C1,P0C0S5:H2AZ1,2,2,"{'TCGA-A6-4105', 'TCGA-DM-A28G'}",0,set(),0,set()
COAD,P62805,H4C1,Q16777:H2AC20,2,2,"{'TCGA-A6-4105', 'TCGA-DM-A28G'}",0,set(),0,set()
COAD,P62805,H4C1,Q9Y294:ASF1A,1,1,{'TCGA-A6-4105'},0,set(),0,set()
COAD,P62805,H4C1,Q9NVP2:ASF1B,1,1,{'TCGA-A6-4105'},0,set(),0,set()
COAD,P62805,H4C1,B4E1C1:nan,1,1,{'TCGA-AA-A00N'},0,set(),0,set()
