TCGA,PROTEIN_A,GENE_A,PROTEIN_GENE_B,GENERAL_OCCURRENCE,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION
ESCA,P62805,H4C1,Q9UER7:DAXX,4,4,"{'TCGA-JY-A6FG', 'TCGA-L5-A88V', 'TCGA-2H-A9GQ', 'TCGA-R6-A6Y2'}",0,set(),0,set()
ESCA,P62805,H4C1,Q16695:H3-4,3,3,"{'TCGA-JY-A6FG', 'TCGA-Z6-A8JE', 'TCGA-LN-A4A2'}",0,set(),0,set()
ESCA,P62805,H4C1,P68431:H3C1,3,3,"{'TCGA-JY-A6FG', 'TCGA-Z6-A8JE', 'TCGA-LN-A4A2'}",0,set(),0,set()
ESCA,P62805,H4C1,Q53F85:nan,3,3,"{'TCGA-JY-A6FG', 'TCGA-L5-A88V', 'TCGA-R6-A6Y2'}",0,set(),0,set()
ESCA,P62805,H4C1,Q16514:TAF12,2,2,"{'TCGA-L5-A88V', 'TCGA-2H-A9GQ'}",0,set(),0,set()
ESCA,P62805,H4C1,P06899:H2BC11,2,2,"{'TCGA-L5-A88V', 'TCGA-2H-A9GQ'}",0,set(),0,set()
ESCA,P62805,H4C1,Q16778:H2BC21,2,2,"{'TCGA-L5-A88V', 'TCGA-2H-A9GQ'}",0,set(),0,set()
ESCA,P62805,H4C1,P84243:H3-3A,2,2,"{'TCGA-JY-A6FG', 'TCGA-Z6-A8JE'}",0,set(),0,set()
ESCA,P62805,H4C1,Q71DI3:H3C15,2,2,"{'TCGA-JY-A6FG', 'TCGA-Z6-A8JE'}",0,set(),0,set()
ESCA,P62805,H4C1,P49450:CENPA,2,2,"{'TCGA-JY-A6FG', 'TCGA-Z6-A8JE'}",0,set(),0,set()
ESCA,P62805,H4C1,B4E1C1:nan,1,1,{'TCGA-L5-A88V'},0,set(),0,set()
