TCGA,PROTEIN_A,GENE_A,PROTEIN_GENE_B,GENERAL_OCCURRENCE,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION
GBM,P04637,TP53,Q13625:TP53BP2,28,28,"{'TCGA-12-3644', 'TCGA-28-5216', 'TCGA-14-1794', 'TCGA-12-0818', 'TCGA-4W-AA9R', 'TCGA-06-0876', 'TCGA-02-0033', 'TCGA-76-6663', 'TCGA-12-1092', 'TCGA-06-0210', 'TCGA-06-0744', 'TCGA-32-4210', 'TCGA-02-2483', 'TCGA-06-0129', 'TCGA-16-0850', 'TCGA-16-0849', 'TCGA-76-4925', 'TCGA-06-1805', 'TCGA-26-1442', 'TCGA-27-1830', 'TCGA-06-0743', 'TCGA-06-0241', 'TCGA-19-A6J5', 'TCGA-16-0846', 'TCGA-76-4934', 'TCGA-28-1753', 'TCGA-06-1800', 'TCGA-76-6664'}",0,set(),0,set()
GBM,P04637,TP53,Q96KQ4:PPP1R13B,28,28,"{'TCGA-12-3644', 'TCGA-28-5216', 'TCGA-14-1794', 'TCGA-12-0818', 'TCGA-4W-AA9R', 'TCGA-06-0876', 'TCGA-02-0033', 'TCGA-76-6663', 'TCGA-12-1092', 'TCGA-06-0210', 'TCGA-06-0744', 'TCGA-02-2483', 'TCGA-06-0129', 'TCGA-28-2509', 'TCGA-16-0850', 'TCGA-16-0849', 'TCGA-76-4925', 'TCGA-06-1805', 'TCGA-26-1442', 'TCGA-27-1830', 'TCGA-06-0743', 'TCGA-06-0241', 'TCGA-19-A6J5', 'TCGA-16-0846', 'TCGA-76-4934', 'TCGA-28-1753', 'TCGA-06-1800', 'TCGA-76-6664'}",0,set(),0,set()
GBM,P04637,TP53,Q06187:BTK,24,24,"{'TCGA-12-3644', 'TCGA-28-5216', 'TCGA-14-1794', 'TCGA-12-0818', 'TCGA-4W-AA9R', 'TCGA-06-0876', 'TCGA-02-0033', 'TCGA-76-6663', 'TCGA-12-1092', 'TCGA-06-0210', 'TCGA-02-2483', 'TCGA-06-0129', 'TCGA-28-2509', 'TCGA-16-0850', 'TCGA-16-0849', 'TCGA-76-4925', 'TCGA-06-1805', 'TCGA-26-1442', 'TCGA-27-1830', 'TCGA-06-0241', 'TCGA-76-4934', 'TCGA-28-1753', 'TCGA-06-1800', 'TCGA-76-6664'}",0,set(),0,set()
GBM,P04637,TP53,P62993:GRB2,21,21,"{'TCGA-12-3644', 'TCGA-28-5216', 'TCGA-14-1794', 'TCGA-14-1795', 'TCGA-12-0818', 'TCGA-4W-AA9R', 'TCGA-06-0876', 'TCGA-76-6663', 'TCGA-32-4210', 'TCGA-02-2483', 'TCGA-28-2509', 'TCGA-16-0850', 'TCGA-14-3477', 'TCGA-16-0849', 'TCGA-76-4925', 'TCGA-06-1805', 'TCGA-26-1442', 'TCGA-76-4934', 'TCGA-28-1753', 'TCGA-06-1800', 'TCGA-76-6664'}",0,set(),0,set()
GBM,P04637,TP53,Q9H3D4:TP63,17,17,"{'TCGA-12-3644', 'TCGA-27-1838', 'TCGA-06-0743', 'TCGA-16-0850', 'TCGA-14-1794', 'TCGA-06-0744', 'TCGA-28-2509', 'TCGA-28-1746', 'TCGA-4W-AA9R', 'TCGA-06-0876', 'TCGA-19-A6J5', 'TCGA-06-A7TL', 'TCGA-76-6663', 'TCGA-16-0846', 'TCGA-06-2570', 'TCGA-06-1800', 'TCGA-76-6664'}",1,{'TCGA-28-1760'},0,set()
GBM,P04637,TP53,Q8WUF5:PPP1R13L,17,17,"{'TCGA-12-3644', 'TCGA-28-5216', 'TCGA-16-0850', 'TCGA-14-1794', 'TCGA-12-0818', 'TCGA-02-2483', 'TCGA-4W-AA9R', 'TCGA-06-0876', 'TCGA-16-0849', 'TCGA-76-6663', 'TCGA-76-4925', 'TCGA-06-1805', 'TCGA-76-4934', 'TCGA-26-1442', 'TCGA-28-1753', 'TCGA-06-1800', 'TCGA-76-6664'}",0,set(),0,set()
GBM,P04637,TP53,P07948:LYN,17,17,"{'TCGA-12-3644', 'TCGA-28-5216', 'TCGA-16-0850', 'TCGA-06-0210', 'TCGA-14-1794', 'TCGA-28-2509', 'TCGA-06-0241', 'TCGA-06-0129', 'TCGA-4W-AA9R', 'TCGA-06-0876', 'TCGA-02-0033', 'TCGA-76-6663', 'TCGA-76-4925', 'TCGA-12-1092', 'TCGA-06-1800', 'TCGA-76-6664', 'TCGA-27-1830'}",0,set(),0,set()
GBM,P04637,TP53,H2EHT1:TP53,13,13,"{'TCGA-12-3644', 'TCGA-06-0743', 'TCGA-16-0850', 'TCGA-14-1794', 'TCGA-06-0744', 'TCGA-28-2509', 'TCGA-4W-AA9R', 'TCGA-06-0876', 'TCGA-19-A6J5', 'TCGA-16-0846', 'TCGA-76-6663', 'TCGA-06-1800', 'TCGA-76-6664'}",0,set(),0,set()
GBM,P04637,TP53,K7PPA8:TP53,13,13,"{'TCGA-12-3644', 'TCGA-06-0743', 'TCGA-16-0850', 'TCGA-14-1794', 'TCGA-06-0744', 'TCGA-28-2509', 'TCGA-4W-AA9R', 'TCGA-06-0876', 'TCGA-19-A6J5', 'TCGA-16-0846', 'TCGA-76-6663', 'TCGA-06-1800', 'TCGA-76-6664'}",0,set(),0,set()
GBM,P04637,TP53,Q96KQ7:EHMT2,6,6,"{'TCGA-06-0743', 'TCGA-16-0850', 'TCGA-06-0744', 'TCGA-19-A6J5', 'TCGA-16-0846', 'TCGA-28-2509'}",0,set(),0,set()
