TCGA,PROTEIN_A,GENE_A,PROTEIN_GENE_B,GENERAL_OCCURRENCE,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION
HNSC,P01112,HRAS,Q07889:SOS1,25,25,"{'TCGA-IQ-7631', 'TCGA-H7-8501', 'TCGA-CV-A6JO', 'TCGA-CQ-7068', 'TCGA-HD-A6I0', 'TCGA-CV-A6JD', 'TCGA-IQ-A61E', 'TCGA-T2-A6WX', 'TCGA-D6-8569', 'TCGA-P3-A6T2', 'TCGA-CN-A642', 'TCGA-CV-6436', 'TCGA-CV-A45P', 'TCGA-BA-5556', 'TCGA-D6-A6EN', 'TCGA-CQ-5333', 'TCGA-CV-7250', 'TCGA-BA-A6DJ', 'TCGA-CN-A63V', 'TCGA-HD-A4C1', 'TCGA-CR-7394', 'TCGA-CV-7183', 'TCGA-CR-7382', 'TCGA-CV-6938', 'TCGA-CQ-7071'}",0,set(),0,set()
HNSC,P01112,HRAS,Q07890:SOS2,25,25,"{'TCGA-IQ-7631', 'TCGA-H7-8501', 'TCGA-CV-A6JO', 'TCGA-CQ-7068', 'TCGA-HD-A6I0', 'TCGA-CV-A6JD', 'TCGA-IQ-A61E', 'TCGA-T2-A6WX', 'TCGA-D6-8569', 'TCGA-P3-A6T2', 'TCGA-CN-A642', 'TCGA-CV-6436', 'TCGA-CV-A45P', 'TCGA-BA-5556', 'TCGA-D6-A6EN', 'TCGA-CQ-5333', 'TCGA-CV-7250', 'TCGA-BA-A6DJ', 'TCGA-CN-A63V', 'TCGA-HD-A4C1', 'TCGA-CR-7394', 'TCGA-CV-7183', 'TCGA-CR-7382', 'TCGA-CV-6938', 'TCGA-CQ-7071'}",0,set(),0,set()
HNSC,P01112,HRAS,G5E9C8:SOS1,22,22,"{'TCGA-IQ-7631', 'TCGA-H7-8501', 'TCGA-CV-A6JO', 'TCGA-CQ-7068', 'TCGA-HD-A6I0', 'TCGA-CV-A6JD', 'TCGA-IQ-A61E', 'TCGA-T2-A6WX', 'TCGA-D6-8569', 'TCGA-P3-A6T2', 'TCGA-CN-A642', 'TCGA-CV-6436', 'TCGA-CV-A45P', 'TCGA-BA-5556', 'TCGA-CQ-5333', 'TCGA-CN-A63V', 'TCGA-HD-A4C1', 'TCGA-CR-7394', 'TCGA-CV-7183', 'TCGA-CR-7382', 'TCGA-CV-6938', 'TCGA-CQ-7071'}",0,set(),0,set()
HNSC,P01112,HRAS,Q13972:RASGRF1,16,16,"{'TCGA-IQ-7631', 'TCGA-CQ-5333', 'TCGA-HD-A6I0', 'TCGA-CV-7250', 'TCGA-CV-A6JD', 'TCGA-P3-A6T2', 'TCGA-T2-A6WX', 'TCGA-D6-8569', 'TCGA-CN-A642', 'TCGA-BA-A6DJ', 'TCGA-CV-A45P', 'TCGA-CQ-7071', 'TCGA-BA-5556', 'TCGA-D6-A6EN', 'TCGA-CV-7183', 'TCGA-CQ-7068'}",0,set(),0,set()
HNSC,P01112,HRAS,Q9UJ41:RABGEF1,15,14,"{'TCGA-CV-7250', 'TCGA-IQ-A61E', 'TCGA-P3-A6T2', 'TCGA-CR-7394', 'TCGA-CR-7382', 'TCGA-H7-8501', 'TCGA-BA-A6DJ', 'TCGA-CV-6436', 'TCGA-CN-A63V', 'TCGA-HD-A4C1', 'TCGA-CV-6938', 'TCGA-D6-A6EN', 'TCGA-CV-A6JO', 'TCGA-CV-7183'}",0,set(),0,set()
HNSC,P01112,HRAS,Q13671:RIN1,12,12,"{'TCGA-CV-7250', 'TCGA-IQ-A61E', 'TCGA-P3-A6T2', 'TCGA-CR-7394', 'TCGA-CR-7382', 'TCGA-BA-A6DJ', 'TCGA-CN-A63V', 'TCGA-H7-8501', 'TCGA-CV-6938', 'TCGA-D6-A6EN', 'TCGA-CV-A6JO', 'TCGA-CV-7183'}",0,set(),0,set()
HNSC,P01112,HRAS,Q15811:ITSN1,4,3,"{'TCGA-D6-A6EN', 'TCGA-CV-7250', 'TCGA-BA-A6DJ'}",0,set(),0,set()
HNSC,P01112,HRAS,Q8IV61:RASGRP3,4,3,"{'TCGA-D6-A6EN', 'TCGA-CV-7250', 'TCGA-BA-A6DJ'}",0,set(),0,set()
HNSC,P01112,HRAS,Q9NZL6:RGL1,4,4,"{'TCGA-CV-6938', 'TCGA-D6-A6EN', 'TCGA-CV-7250', 'TCGA-BA-A6DJ'}",0,set(),0,set()
HNSC,P01112,HRAS,P15498:VAV1,3,3,"{'TCGA-D6-A6EN', 'TCGA-CV-7250', 'TCGA-BA-A6DJ'}",0,set(),0,set()
HNSC,P01112,HRAS,Q13905:RAPGEF1,3,3,"{'TCGA-D6-A6EN', 'TCGA-CV-7250', 'TCGA-BA-A6DJ'}",0,set(),0,set()
HNSC,P01112,HRAS,Q13009:TIAM1,3,3,"{'TCGA-D6-A6EN', 'TCGA-CV-7250', 'TCGA-BA-A6DJ'}",0,set(),0,set()
HNSC,P01112,HRAS,Q9P212:PLCE1,3,3,"{'TCGA-D6-A6EN', 'TCGA-CV-7250', 'TCGA-BA-A6DJ'}",0,set(),0,set()
HNSC,P01112,HRAS,P10398:ARAF,1,1,{'TCGA-P3-A5Q5'},0,set(),0,set()
HNSC,P01112,HRAS,P08069:IGF1R,1,1,{'TCGA-P3-A5Q5'},0,set(),0,set()
HNSC,P01112,HRAS,P06239:LCK,1,1,{'TCGA-P3-A5Q5'},0,set(),0,set()
