TCGA,PROTEIN_A,GENE_A,PROTEIN_GENE_B,GENERAL_OCCURRENCE,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION
HNSC,P22607,FGFR3,P09038:FGF2,4,4,"{'TCGA-BA-A4IH', 'TCGA-CR-6481', 'TCGA-CV-7568', 'TCGA-CN-A6V7'}",0,set(),0,set()
HNSC,P22607,FGFR3,P10767:FGF6,4,4,"{'TCGA-BA-A4IH', 'TCGA-CR-6481', 'TCGA-CV-7568', 'TCGA-CN-A6V7'}",0,set(),0,set()
HNSC,P22607,FGFR3,P05230:FGF1,4,4,"{'TCGA-BA-A4IH', 'TCGA-CR-6481', 'TCGA-CV-7568', 'TCGA-CN-A6V7'}",0,set(),0,set()
HNSC,P22607,FGFR3,P61328:FGF12,4,4,"{'TCGA-BA-A4IH', 'TCGA-CR-6481', 'TCGA-CV-7568', 'TCGA-CN-A6V7'}",0,set(),0,set()
HNSC,P22607,FGFR3,A1A515:FGF8,4,4,"{'TCGA-BA-A4IH', 'TCGA-CR-6481', 'TCGA-CV-7568', 'TCGA-CN-A6V7'}",0,set(),0,set()
HNSC,P22607,FGFR3,A8K147:nan,4,4,"{'TCGA-BA-A4IH', 'TCGA-CR-6481', 'TCGA-CV-7568', 'TCGA-CN-A6V7'}",0,set(),0,set()
HNSC,P22607,FGFR3,P08620:FGF4,3,3,"{'TCGA-BA-A4IH', 'TCGA-CR-6481', 'TCGA-CN-A6V7'}",0,set(),0,set()
HNSC,P22607,FGFR3,Q9GZV9:FGF23,1,1,{'TCGA-CV-7568'},0,set(),0,set()
HNSC,P22607,FGFR3,O95750:FGF19,1,1,{'TCGA-CV-7568'},1,{'TCGA-KU-A66T'},0,set()
HNSC,P22607,FGFR3,P11487:FGF3,1,1,{'TCGA-CV-7568'},0,set(),0,set()
HNSC,P22607,FGFR3,O15524:SOCS1,1,1,{'TCGA-QK-A6V9'},0,set(),0,set()
HNSC,P22607,FGFR3,Q0IJ44:FGFR3,1,1,{'TCGA-QK-A6V9'},0,set(),0,set()
