TCGA,PROTEIN_A,GENE_A,PROTEIN_GENE_B,GENERAL_OCCURRENCE,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION
HNSC,P42771,CDKN2A,P11802:CDK4,14,14,"{'TCGA-CN-4738', 'TCGA-UF-A7J9', 'TCGA-CR-7370', 'TCGA-IQ-A6SH', 'TCGA-P3-A6T3', 'TCGA-CN-6997', 'TCGA-CV-6942', 'TCGA-BA-5557', 'TCGA-CV-A6JM', 'TCGA-CV-5440', 'TCGA-CN-A6V3', 'TCGA-CQ-6220', 'TCGA-BA-7269', 'TCGA-D6-A74Q'}",0,set(),0,set()
HNSC,P42771,CDKN2A,P29320:EPHA3,12,12,"{'TCGA-CV-7180', 'TCGA-IQ-A6SH', 'TCGA-CR-7370', 'TCGA-P3-A6T3', 'TCGA-CN-6997', 'TCGA-BA-5557', 'TCGA-CV-A6JM', 'TCGA-CV-5440', 'TCGA-CN-A6V3', 'TCGA-CQ-6220', 'TCGA-BA-7269', 'TCGA-D6-A74Q'}",0,set(),0,set()
HNSC,P42771,CDKN2A,O14920:IKBKB,11,11,"{'TCGA-CN-4738', 'TCGA-UF-A7J9', 'TCGA-CR-7370', 'TCGA-P3-A6T3', 'TCGA-CN-6997', 'TCGA-BA-5557', 'TCGA-CV-5440', 'TCGA-CN-A6V3', 'TCGA-CQ-6220', 'TCGA-BA-7269', 'TCGA-D6-A74Q'}",1,{'TCGA-BA-5557'},0,set()
HNSC,P42771,CDKN2A,P17252:PRKCA,11,11,"{'TCGA-UF-A7J9', 'TCGA-CR-7370', 'TCGA-IQ-A6SH', 'TCGA-P3-A6T3', 'TCGA-CN-6997', 'TCGA-BA-5557', 'TCGA-CV-A6JM', 'TCGA-CV-5440', 'TCGA-CN-A6V3', 'TCGA-CQ-6220', 'TCGA-D6-A74Q'}",0,set(),0,set()
HNSC,P42771,CDKN2A,P45983:MAPK8,9,9,"{'TCGA-IQ-A6SH', 'TCGA-CR-7370', 'TCGA-P3-A6T3', 'TCGA-CN-6997', 'TCGA-CV-A6JM', 'TCGA-CN-A6V3', 'TCGA-CQ-6220', 'TCGA-BA-7269', 'TCGA-D6-A74Q'}",0,set(),0,set()
HNSC,P42771,CDKN2A,P49760:CLK2,9,9,"{'TCGA-IQ-A6SH', 'TCGA-CR-7370', 'TCGA-P3-A6T3', 'TCGA-CN-6997', 'TCGA-CV-A6JM', 'TCGA-CN-A6V3', 'TCGA-CQ-6220', 'TCGA-BA-7269', 'TCGA-D6-A74Q'}",0,set(),0,set()
HNSC,P42771,CDKN2A,A4D1G0:CDK6,9,9,"{'TCGA-IQ-A6SH', 'TCGA-CR-7370', 'TCGA-P3-A6T3', 'TCGA-CN-6997', 'TCGA-CV-A6JM', 'TCGA-CN-A6V3', 'TCGA-CQ-6220', 'TCGA-BA-7269', 'TCGA-D6-A74Q'}",0,set(),0,set()
HNSC,P42771,CDKN2A,Q9UQ88:CDK11A,8,8,"{'TCGA-CR-7370', 'TCGA-P3-A6T3', 'TCGA-CN-6997', 'TCGA-CV-A6JM', 'TCGA-CN-A6V3', 'TCGA-CQ-6220', 'TCGA-BA-7269', 'TCGA-D6-A74Q'}",0,set(),0,set()
HNSC,P42771,CDKN2A,Q00534:CDK6,8,8,"{'TCGA-IQ-A6SH', 'TCGA-CR-7370', 'TCGA-P3-A6T3', 'TCGA-CN-6997', 'TCGA-CV-A6JM', 'TCGA-CN-A6V3', 'TCGA-CQ-6220', 'TCGA-D6-A74Q'}",0,set(),0,set()
HNSC,P42771,CDKN2A,A1L4K2:MAPK8,8,8,"{'TCGA-IQ-A6SH', 'TCGA-CV-5976', 'TCGA-CR-7370', 'TCGA-CN-6997', 'TCGA-CV-A6JM', 'TCGA-CN-A6V3', 'TCGA-CQ-6220', 'TCGA-D6-A74Q'}",0,set(),0,set()
