TCGA,PROTEIN_A,GENE_A,PROTEIN_GENE_B,GENERAL_OCCURRENCE,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION
HNSC,P61586,RHOA,O43157:PLXNB1,4,4,"{'TCGA-CV-7410', 'TCGA-CV-7102', 'TCGA-CN-6998', 'TCGA-F7-A624'}",0,set(),0,set()
HNSC,P61586,RHOA,O60610:DIAPH1,4,4,"{'TCGA-CV-7410', 'TCGA-CV-7102', 'TCGA-CN-6998', 'TCGA-F7-A624'}",0,set(),0,set()
HNSC,P61586,RHOA,Q86VW2:ARHGEF25,3,3,"{'TCGA-CV-7410', 'TCGA-CV-7102', 'TCGA-CN-6998'}",0,set(),0,set()
HNSC,P61586,RHOA,Q16513:PKN2,2,2,"{'TCGA-TN-A7HL', 'TCGA-KU-A66S'}",0,set(),0,set()
HNSC,P61586,RHOA,O14578:CIT,1,1,{'TCGA-TN-A7HL'},0,set(),0,set()
HNSC,P61586,RHOA,O75962:TRIO,1,1,{'TCGA-TN-A7HL'},1,{'TCGA-D6-A6ES'},0,set()
HNSC,P61586,RHOA,P17612:PRKACA,1,1,{'TCGA-TN-A7HL'},0,set(),0,set()
HNSC,P61586,RHOA,Q9Y4D1:DAAM1,1,1,{'TCGA-F7-A624'},0,set(),0,set()
HNSC,P61586,RHOA,Q9NSV4:DIAPH3,1,1,{'TCGA-F7-A624'},0,set(),0,set()
HNSC,P61586,RHOA,P52565:ARHGDIA,1,1,{'TCGA-F7-A624'},0,set(),0,set()
HNSC,P61586,RHOA,P52566:ARHGDIB,1,1,{'TCGA-F7-A624'},0,set(),0,set()
HNSC,P61586,RHOA,Q99819:ARHGDIG,1,1,{'TCGA-F7-A624'},0,set(),0,set()
HNSC,P61586,RHOA,O15068:MCF2L,1,1,{'TCGA-F7-A624'},0,set(),0,set()
HNSC,P61586,RHOA,Q7Z628:NET1,1,1,{'TCGA-F7-A624'},0,set(),0,set()
HNSC,P61586,RHOA,Q5S007:LRRK2,1,1,{'TCGA-F7-A624'},0,set(),0,set()
HNSC,P61586,RHOA,Q07960:ARHGAP1,1,1,{'TCGA-BB-8596'},1,{'TCGA-CN-6021'},0,set()
HNSC,P61586,RHOA,Q96N67:DOCK7,1,1,{'TCGA-KU-A66S'},0,set(),0,set()
HNSC,P61586,RHOA,Q16512:PKN1,1,1,{'TCGA-KU-A66S'},0,set(),0,set()
