TCGA,PROTEIN_A,GENE_A,PROTEIN_GENE_B,GENERAL_OCCURRENCE,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION
OV,P04637,TP53,Q13625:TP53BP2,61,60,"{'TCGA-24-2260', 'TCGA-25-1315', 'TCGA-13-2060', 'TCGA-25-2409', 'TCGA-25-2397', 'TCGA-13-1411', 'TCGA-61-1904', 'TCGA-25-2392', 'TCGA-13-0889', 'TCGA-13-1481', 'TCGA-13-1499', 'TCGA-24-2036', 'TCGA-29-1771', 'TCGA-29-1764', 'TCGA-24-1426', 'TCGA-23-1032', 'TCGA-13-1512', 'TCGA-57-1993', 'TCGA-24-1466', 'TCGA-29-1778', 'TCGA-04-1346', 'TCGA-25-1321', 'TCGA-24-0979', 'TCGA-09-2045', 'TCGA-24-1422', 'TCGA-24-1551', 'TCGA-24-1464', 'TCGA-04-1349', 'TCGA-42-2582', 'TCGA-13-0791', 'TCGA-13-0805', 'TCGA-04-1367', 'TCGA-13-0905', 'TCGA-61-2612', 'TCGA-59-2348', 'TCGA-13-2059', 'TCGA-13-1500', 'TCGA-04-1332', 'TCGA-61-2096', 'TCGA-13-1496', 'TCGA-09-2055', 'TCGA-24-2254', 'TCGA-3P-A9WA', 'TCGA-04-1369', 'TCGA-13-0804', 'TCGA-24-0982', 'TCGA-23-2643', 'TCGA-24-1419', 'TCGA-04-1542', 'TCGA-20-0991', 'TCGA-13-0768', 'TCGA-13-A5FU', 'TCGA-VG-A8LO', 'TCGA-20-1686', 'TCGA-04-1336', 'TCGA-24-1417', 'TCGA-13-0766', 'TCGA-13-1482', 'TCGA-10-0934', 'TCGA-61-1725'}",0,set(),0,set()
OV,P04637,TP53,Q96KQ4:PPP1R13B,61,60,"{'TCGA-24-2260', 'TCGA-25-1315', 'TCGA-13-2060', 'TCGA-25-2409', 'TCGA-25-2397', 'TCGA-61-1904', 'TCGA-25-2392', 'TCGA-13-0889', 'TCGA-13-1481', 'TCGA-13-1499', 'TCGA-24-2036', 'TCGA-29-1771', 'TCGA-29-1764', 'TCGA-24-1426', 'TCGA-23-1032', 'TCGA-13-1512', 'TCGA-57-1993', 'TCGA-24-1466', 'TCGA-29-1778', 'TCGA-04-1346', 'TCGA-25-1321', 'TCGA-24-0979', 'TCGA-09-2045', 'TCGA-24-1422', 'TCGA-24-1551', 'TCGA-24-1464', 'TCGA-04-1349', 'TCGA-42-2582', 'TCGA-13-0791', 'TCGA-09-2043', 'TCGA-04-1367', 'TCGA-13-0905', 'TCGA-13-0805', 'TCGA-59-2348', 'TCGA-13-2059', 'TCGA-61-2612', 'TCGA-13-1500', 'TCGA-04-1332', 'TCGA-61-2096', 'TCGA-13-1496', 'TCGA-09-2055', 'TCGA-24-2254', 'TCGA-3P-A9WA', 'TCGA-04-1369', 'TCGA-13-0804', 'TCGA-24-0982', 'TCGA-23-2643', 'TCGA-24-1419', 'TCGA-04-1542', 'TCGA-20-0991', 'TCGA-13-0768', 'TCGA-13-A5FU', 'TCGA-VG-A8LO', 'TCGA-20-1686', 'TCGA-04-1336', 'TCGA-24-1417', 'TCGA-13-0766', 'TCGA-13-1482', 'TCGA-10-0934', 'TCGA-61-1725'}",0,set(),0,set()
OV,P04637,TP53,Q06187:BTK,51,50,"{'TCGA-24-2260', 'TCGA-25-1315', 'TCGA-25-2409', 'TCGA-25-2397', 'TCGA-61-1904', 'TCGA-25-2392', 'TCGA-13-0889', 'TCGA-13-1499', 'TCGA-24-2036', 'TCGA-29-1764', 'TCGA-24-1426', 'TCGA-23-1032', 'TCGA-13-1512', 'TCGA-57-1993', 'TCGA-24-1466', 'TCGA-29-1778', 'TCGA-25-1321', 'TCGA-24-0979', 'TCGA-24-1422', 'TCGA-24-1551', 'TCGA-42-2582', 'TCGA-04-1349', 'TCGA-13-0791', 'TCGA-09-2043', 'TCGA-04-1367', 'TCGA-13-0905', 'TCGA-13-0805', 'TCGA-59-2348', 'TCGA-61-2612', 'TCGA-13-1500', 'TCGA-13-1496', 'TCGA-09-2055', 'TCGA-24-2254', 'TCGA-3P-A9WA', 'TCGA-04-1369', 'TCGA-13-0804', 'TCGA-24-0982', 'TCGA-23-2643', 'TCGA-24-1419', 'TCGA-04-1542', 'TCGA-20-0991', 'TCGA-13-0768', 'TCGA-13-A5FU', 'TCGA-VG-A8LO', 'TCGA-20-1686', 'TCGA-04-1336', 'TCGA-24-1417', 'TCGA-13-0766', 'TCGA-13-1482', 'TCGA-10-0934'}",0,set(),0,set()
OV,P04637,TP53,P62993:GRB2,46,46,"{'TCGA-25-1315', 'TCGA-25-2409', 'TCGA-25-2397', 'TCGA-61-1904', 'TCGA-25-2392', 'TCGA-61-1913', 'TCGA-13-0889', 'TCGA-29-2427', 'TCGA-24-2036', 'TCGA-29-1764', 'TCGA-24-1426', 'TCGA-13-1512', 'TCGA-24-1466', 'TCGA-29-1778', 'TCGA-25-1321', 'TCGA-24-1422', 'TCGA-24-1551', 'TCGA-24-1464', 'TCGA-04-1349', 'TCGA-42-2582', 'TCGA-29-1707', 'TCGA-13-0791', 'TCGA-09-2043', 'TCGA-04-1367', 'TCGA-13-0905', 'TCGA-61-2612', 'TCGA-59-2348', 'TCGA-13-1500', 'TCGA-09-2055', 'TCGA-24-2254', 'TCGA-3P-A9WA', 'TCGA-04-1369', 'TCGA-13-0804', 'TCGA-24-0982', 'TCGA-24-2288', 'TCGA-04-1542', 'TCGA-20-0991', 'TCGA-13-0768', 'TCGA-13-A5FU', 'TCGA-20-1686', 'TCGA-04-1336', 'TCGA-24-1417', 'TCGA-61-2111', 'TCGA-13-0766', 'TCGA-13-1482', 'TCGA-10-0934'}",1,{'TCGA-23-1121'},0,set()
OV,P04637,TP53,Q8WUF5:PPP1R13L,40,40,"{'TCGA-25-1315', 'TCGA-25-2409', 'TCGA-25-2397', 'TCGA-61-1904', 'TCGA-25-2392', 'TCGA-13-0889', 'TCGA-24-2036', 'TCGA-29-1764', 'TCGA-24-1426', 'TCGA-13-1512', 'TCGA-24-1466', 'TCGA-29-1778', 'TCGA-25-1321', 'TCGA-24-1422', 'TCGA-24-1551', 'TCGA-42-2582', 'TCGA-04-1349', 'TCGA-13-0791', 'TCGA-04-1367', 'TCGA-13-0905', 'TCGA-61-2612', 'TCGA-59-2348', 'TCGA-13-1500', 'TCGA-04-1332', 'TCGA-09-2055', 'TCGA-24-2254', 'TCGA-3P-A9WA', 'TCGA-04-1369', 'TCGA-13-0804', 'TCGA-24-0982', 'TCGA-04-1542', 'TCGA-20-0991', 'TCGA-13-0768', 'TCGA-13-A5FU', 'TCGA-20-1686', 'TCGA-04-1336', 'TCGA-24-1417', 'TCGA-13-0766', 'TCGA-13-1482', 'TCGA-10-0934'}",0,set(),0,set()
OV,P04637,TP53,P07948:LYN,33,33,"{'TCGA-24-2260', 'TCGA-25-2409', 'TCGA-25-2397', 'TCGA-13-1499', 'TCGA-23-1032', 'TCGA-57-1993', 'TCGA-24-1466', 'TCGA-29-1778', 'TCGA-24-0979', 'TCGA-24-1422', 'TCGA-24-1551', 'TCGA-24-1464', 'TCGA-04-1349', 'TCGA-09-2043', 'TCGA-04-1367', 'TCGA-13-0805', 'TCGA-61-2612', 'TCGA-13-1500', 'TCGA-04-1332', 'TCGA-13-1496', 'TCGA-24-2254', 'TCGA-24-0982', 'TCGA-23-2643', 'TCGA-24-1419', 'TCGA-20-0991', 'TCGA-13-0768', 'TCGA-VG-A8LO', 'TCGA-20-1686', 'TCGA-04-1336', 'TCGA-24-1417', 'TCGA-13-0766', 'TCGA-10-0934', 'TCGA-61-1725'}",0,set(),0,set()
OV,P04637,TP53,Q9H3D4:TP63,31,31,"{'TCGA-13-2060', 'TCGA-25-2409', 'TCGA-13-1481', 'TCGA-61-2614', 'TCGA-29-1771', 'TCGA-13-0807', 'TCGA-29-1778', 'TCGA-04-1346', 'TCGA-09-2045', 'TCGA-24-1422', 'TCGA-24-1551', 'TCGA-24-1464', 'TCGA-04-1349', 'TCGA-09-2043', 'TCGA-04-1367', 'TCGA-61-2612', 'TCGA-13-2059', 'TCGA-13-1500', 'TCGA-04-1332', 'TCGA-61-2096', 'TCGA-13-0910', 'TCGA-24-2254', 'TCGA-24-0982', 'TCGA-20-0991', 'TCGA-13-0768', 'TCGA-20-1686', 'TCGA-04-1336', 'TCGA-24-1417', 'TCGA-13-0766', 'TCGA-61-1914', 'TCGA-13-1491'}",1,{'TCGA-59-2351'},0,set()
OV,P04637,TP53,H2EHT1:TP53,27,27,"{'TCGA-13-2060', 'TCGA-25-2409', 'TCGA-13-1481', 'TCGA-29-1771', 'TCGA-13-0807', 'TCGA-29-1778', 'TCGA-04-1346', 'TCGA-09-2045', 'TCGA-24-1422', 'TCGA-24-1551', 'TCGA-24-1464', 'TCGA-04-1349', 'TCGA-09-2043', 'TCGA-04-1367', 'TCGA-61-2612', 'TCGA-13-2059', 'TCGA-13-1500', 'TCGA-04-1332', 'TCGA-61-2096', 'TCGA-24-2254', 'TCGA-24-0982', 'TCGA-20-0991', 'TCGA-13-0768', 'TCGA-20-1686', 'TCGA-04-1336', 'TCGA-24-1417', 'TCGA-13-0766'}",0,set(),0,set()
OV,P04637,TP53,K7PPA8:TP53,27,27,"{'TCGA-13-2060', 'TCGA-25-2409', 'TCGA-13-1481', 'TCGA-29-1771', 'TCGA-13-0807', 'TCGA-29-1778', 'TCGA-04-1346', 'TCGA-09-2045', 'TCGA-24-1422', 'TCGA-24-1551', 'TCGA-24-1464', 'TCGA-04-1349', 'TCGA-09-2043', 'TCGA-04-1367', 'TCGA-61-2612', 'TCGA-13-2059', 'TCGA-13-1500', 'TCGA-04-1332', 'TCGA-61-2096', 'TCGA-24-2254', 'TCGA-24-0982', 'TCGA-20-0991', 'TCGA-13-0768', 'TCGA-20-1686', 'TCGA-04-1336', 'TCGA-24-1417', 'TCGA-13-0766'}",0,set(),0,set()
OV,P04637,TP53,O15350:TP73,21,21,"{'TCGA-23-1123', 'TCGA-13-2060', 'TCGA-29-1768', 'TCGA-04-1652', 'TCGA-42-2589', 'TCGA-61-1913', 'TCGA-13-1481', 'TCGA-29-2427', 'TCGA-29-1771', 'TCGA-04-1346', 'TCGA-29-1695', 'TCGA-09-2045', 'TCGA-29-1707', 'TCGA-13-2059', 'TCGA-04-1332', 'TCGA-04-1360', 'TCGA-61-2096', 'TCGA-23-1110', 'TCGA-13-1404', 'TCGA-61-2111', 'TCGA-24-1844'}",0,set(),0,set()
