TCGA,PROTEIN_A,GENE_A,PROTEIN_GENE_B,GENERAL_OCCURRENCE,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION
OV,P62805,H4C1,P84243:H3-3A,4,4,"{'TCGA-13-1481', 'TCGA-23-2078', 'TCGA-61-1722', 'TCGA-61-1900'}",0,set(),0,set()
OV,P62805,H4C1,P49450:CENPA,3,3,"{'TCGA-13-1481', 'TCGA-61-1722', 'TCGA-61-1900'}",0,set(),0,set()
OV,P62805,H4C1,P68431:H3C1,3,3,"{'TCGA-13-1488', 'TCGA-13-1481', 'TCGA-61-1900'}",1,{'TCGA-61-2095'},0,set()
OV,P62805,H4C1,P04908:H2AC4,2,2,"{'TCGA-13-1481', 'TCGA-61-1900'}",0,set(),0,set()
OV,P62805,H4C1,Q16695:H3-4,2,2,"{'TCGA-13-1481', 'TCGA-61-1900'}",0,set(),0,set()
OV,P62805,H4C1,Q71DI3:H3C15,2,2,"{'TCGA-13-1481', 'TCGA-61-1900'}",0,set(),0,set()
OV,P62805,H4C1,P0C0S5:H2AZ1,2,2,"{'TCGA-13-1481', 'TCGA-61-1900'}",0,set(),0,set()
OV,P62805,H4C1,Q16777:H2AC20,2,2,"{'TCGA-13-1481', 'TCGA-61-1900'}",0,set(),0,set()
OV,P62805,H4C1,Q53F85:nan,2,2,"{'TCGA-23-1032', 'TCGA-61-1900'}",0,set(),0,set()
OV,P62805,H4C1,Q9UER7:DAXX,1,1,{'TCGA-61-1900'},0,set(),0,set()
OV,P62805,H4C1,B4E1C1:nan,1,1,{'TCGA-61-1900'},0,set(),0,set()
OV,P62805,H4C1,Q8NCD3:HJURP,1,1,{'TCGA-20-0991'},0,set(),0,set()
OV,P62805,H4C1,Q16514:TAF12,1,1,{'TCGA-23-2078'},0,set(),0,set()
OV,P62805,H4C1,P06899:H2BC11,1,1,{'TCGA-23-2078'},0,set(),0,set()
OV,P62805,H4C1,Q16778:H2BC21,1,1,{'TCGA-23-2078'},0,set(),0,set()
OV,P62805,H4C1,P16104:H2AX,1,1,{'TCGA-13-1481'},0,set(),0,set()
OV,P62805,H4C1,Q9Y294:ASF1A,1,1,{'TCGA-13-1481'},0,set(),0,set()
OV,P62805,H4C1,Q9NVP2:ASF1B,1,1,{'TCGA-13-1481'},0,set(),0,set()
