TCGA,PROTEIN:GENE,NUM_PATIENTS,INTERACTOR,NUM_PATIENTS_INTERACTOR,DISRUPTIVE_INTERACTOR_COUNT,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION,MUTUAL_EXCLUSIVITY
HNSC,P04637:TP53,203,Q96KQ4:PPP1R13B,3,46,46,"{'TCGA-BA-6870', 'TCGA-CR-7397', 'TCGA-BB-A5HZ', 'TCGA-BA-A6DG', 'TCGA-F7-A61S', 'TCGA-CQ-7065', 'TCGA-CV-7248', 'TCGA-CQ-7063', 'TCGA-CV-6943', 'TCGA-CV-6935', 'TCGA-D6-6515', 'TCGA-IQ-A61G', 'TCGA-CQ-A4C9', 'TCGA-CR-7376', 'TCGA-CR-7388', 'TCGA-CV-7090', 'TCGA-CV-7180', 'TCGA-CN-4723', 'TCGA-P3-A5Q6', 'TCGA-CQ-5326', 'TCGA-CN-4737', 'TCGA-CV-7418', 'TCGA-CQ-5329', 'TCGA-CN-4733', 'TCGA-D6-A6EM', 'TCGA-CQ-6224', 'TCGA-UF-A7JT', 'TCGA-CR-7368', 'TCGA-CV-A460', 'TCGA-CR-6478', 'TCGA-CN-6018', 'TCGA-BA-A6DD', 'TCGA-HD-8635', 'TCGA-BA-A6DB', 'TCGA-HD-7229', 'TCGA-UF-A71A', 'TCGA-CV-5979', 'TCGA-IQ-A61L', 'TCGA-CQ-5331', 'TCGA-QK-A8Z9', 'TCGA-CV-6953', 'TCGA-CN-5356', 'TCGA-MT-A51W', 'TCGA-QK-A64Z', 'TCGA-CN-A49A', 'TCGA-CQ-6220'}",0,set(),0,set(),0.9903
HNSC,P04637:TP53,203,Q13625:TP53BP2,4,44,44,"{'TCGA-CR-7397', 'TCGA-BB-A5HZ', 'TCGA-BA-A6DG', 'TCGA-F7-A61S', 'TCGA-CQ-7065', 'TCGA-CQ-7063', 'TCGA-CV-6943', 'TCGA-D6-6515', 'TCGA-IQ-A61G', 'TCGA-CQ-A4C9', 'TCGA-CR-7376', 'TCGA-CR-7388', 'TCGA-CV-7090', 'TCGA-CV-7180', 'TCGA-P3-A5Q6', 'TCGA-CQ-5326', 'TCGA-D6-8569', 'TCGA-CN-4737', 'TCGA-CV-7418', 'TCGA-CV-A6K2', 'TCGA-CQ-5329', 'TCGA-CN-4733', 'TCGA-D6-A6EM', 'TCGA-CQ-6224', 'TCGA-UF-A7JT', 'TCGA-CR-7368', 'TCGA-CV-A460', 'TCGA-CR-6478', 'TCGA-CN-6018', 'TCGA-BA-A6DD', 'TCGA-HD-8635', 'TCGA-BA-A6DB', 'TCGA-HD-7229', 'TCGA-UF-A71A', 'TCGA-CV-5979', 'TCGA-IQ-A61L', 'TCGA-CQ-5331', 'TCGA-QK-A8Z9', 'TCGA-CV-6953', 'TCGA-CN-5356', 'TCGA-MT-A51W', 'TCGA-QK-A64Z', 'TCGA-CN-A49A', 'TCGA-CQ-6220'}",0,set(),0,set(),0.9903
HNSC,P04637:TP53,203,Q06187:BTK,4,38,38,"{'TCGA-BA-6870', 'TCGA-CR-7397', 'TCGA-BB-A5HZ', 'TCGA-BA-A6DG', 'TCGA-F7-A61S', 'TCGA-CV-7248', 'TCGA-CV-6943', 'TCGA-CV-6935', 'TCGA-D6-6515', 'TCGA-IQ-A61G', 'TCGA-CN-4723', 'TCGA-CR-7376', 'TCGA-CR-7388', 'TCGA-CV-7090', 'TCGA-CV-7180', 'TCGA-P3-A5Q6', 'TCGA-CQ-5326', 'TCGA-CN-4737', 'TCGA-CV-7418', 'TCGA-CQ-5329', 'TCGA-CN-4733', 'TCGA-CQ-6224', 'TCGA-UF-A7JT', 'TCGA-CR-7368', 'TCGA-CV-A460', 'TCGA-CN-6018', 'TCGA-BA-A6DD', 'TCGA-BA-A6DB', 'TCGA-UF-A71A', 'TCGA-CV-5979', 'TCGA-IQ-A61L', 'TCGA-CQ-5331', 'TCGA-QK-A8Z9', 'TCGA-CV-6953', 'TCGA-CN-5356', 'TCGA-QK-A64Z', 'TCGA-CN-A49A', 'TCGA-CQ-6220'}",0,set(),0,set(),1.0
HNSC,P04637:TP53,203,P62993:GRB2,0,34,34,"{'TCGA-BA-6870', 'TCGA-CR-7397', 'TCGA-BB-A5HZ', 'TCGA-BA-A6DG', 'TCGA-CV-7248', 'TCGA-CV-6943', 'TCGA-CV-6935', 'TCGA-D6-6515', 'TCGA-IQ-A61G', 'TCGA-CN-4723', 'TCGA-CR-7376', 'TCGA-CR-7388', 'TCGA-CV-7090', 'TCGA-CV-7180', 'TCGA-CQ-5326', 'TCGA-CN-4737', 'TCGA-CV-7418', 'TCGA-CV-A6K2', 'TCGA-CQ-5329', 'TCGA-CN-4733', 'TCGA-UF-A7JT', 'TCGA-BA-A6DL', 'TCGA-CV-A460', 'TCGA-CN-6018', 'TCGA-BA-A6DD', 'TCGA-BA-A6DB', 'TCGA-CQ-5331', 'TCGA-QK-A8Z9', 'TCGA-CV-6953', 'TCGA-CN-5356', 'TCGA-MT-A51W', 'TCGA-QK-A64Z', 'TCGA-CN-A49A', 'TCGA-CQ-6220'}",0,set(),0,set(),1.0
HNSC,P04637:TP53,203,Q8WUF5:PPP1R13L,4,27,27,"{'TCGA-CR-7397', 'TCGA-BB-A5HZ', 'TCGA-BA-A6DG', 'TCGA-CV-6943', 'TCGA-D6-6515', 'TCGA-IQ-A61G', 'TCGA-CR-7376', 'TCGA-CR-7388', 'TCGA-CV-7090', 'TCGA-CV-7180', 'TCGA-CQ-5326', 'TCGA-CN-4737', 'TCGA-CV-7418', 'TCGA-CQ-5329', 'TCGA-CN-4733', 'TCGA-UF-A7JT', 'TCGA-CV-A460', 'TCGA-CN-6018', 'TCGA-BA-A6DD', 'TCGA-BA-A6DB', 'TCGA-CQ-5331', 'TCGA-QK-A8Z9', 'TCGA-CV-6953', 'TCGA-CN-5356', 'TCGA-QK-A64Z', 'TCGA-CN-A49A', 'TCGA-CQ-6220'}",0,set(),0,set(),0.9903
HNSC,P04637:TP53,203,Q9H3D4:TP63,8,24,24,"{'TCGA-BA-6870', 'TCGA-CR-7397', 'TCGA-BB-A5HZ', 'TCGA-CQ-7065', 'TCGA-CR-7379', 'TCGA-CV-7248', 'TCGA-CQ-7063', 'TCGA-CV-6943', 'TCGA-CV-6935', 'TCGA-IQ-A61G', 'TCGA-CQ-A4C9', 'TCGA-CN-4723', 'TCGA-CV-7180', 'TCGA-BA-4076', 'TCGA-D6-A6EM', 'TCGA-CR-6478', 'TCGA-BA-A4II', 'TCGA-CN-6018', 'TCGA-F7-A50I', 'TCGA-HD-8635', 'TCGA-HD-7229', 'TCGA-CQ-A4CD', 'TCGA-CV-6953', 'TCGA-MT-A51W'}",0,set(),0,set(),0.9858
HNSC,P04637:TP53,203,P07948:LYN,5,23,23,"{'TCGA-BA-6870', 'TCGA-CR-7397', 'TCGA-BB-A5HZ', 'TCGA-F7-A61S', 'TCGA-CV-7248', 'TCGA-CV-6943', 'TCGA-CV-6935', 'TCGA-IQ-A61G', 'TCGA-CN-4723', 'TCGA-P3-A5Q6', 'TCGA-CQ-5326', 'TCGA-CV-7180', 'TCGA-CN-4737', 'TCGA-CV-7418', 'TCGA-CQ-6224', 'TCGA-CR-7368', 'TCGA-CN-6018', 'TCGA-UF-A71A', 'TCGA-CV-5979', 'TCGA-IQ-A61L', 'TCGA-QK-A8Z9', 'TCGA-CV-6953', 'TCGA-MT-A51W'}",0,set(),0,set(),0.9904
HNSC,P04637:TP53,203,H2EHT1:TP53,0,20,20,"{'TCGA-BA-6870', 'TCGA-CR-7397', 'TCGA-BB-A5HZ', 'TCGA-CQ-7065', 'TCGA-CV-7248', 'TCGA-CQ-7063', 'TCGA-CV-6943', 'TCGA-CV-6935', 'TCGA-IQ-A61G', 'TCGA-CQ-A4C9', 'TCGA-CN-4723', 'TCGA-CV-7180', 'TCGA-D6-A6EM', 'TCGA-CR-6478', 'TCGA-BA-A4II', 'TCGA-CN-6018', 'TCGA-HD-8635', 'TCGA-HD-7229', 'TCGA-CV-6953', 'TCGA-MT-A51W'}",0,set(),0,set(),1.0
HNSC,P04637:TP53,203,K7PPA8:TP53,0,20,20,"{'TCGA-BA-6870', 'TCGA-CR-7397', 'TCGA-BB-A5HZ', 'TCGA-CQ-7065', 'TCGA-CV-7248', 'TCGA-CQ-7063', 'TCGA-CV-6943', 'TCGA-CV-6935', 'TCGA-IQ-A61G', 'TCGA-CQ-A4C9', 'TCGA-CN-4723', 'TCGA-CV-7180', 'TCGA-D6-A6EM', 'TCGA-CR-6478', 'TCGA-BA-A4II', 'TCGA-CN-6018', 'TCGA-HD-8635', 'TCGA-HD-7229', 'TCGA-CV-6953', 'TCGA-MT-A51W'}",0,set(),0,set(),1.0
HNSC,P04637:TP53,203,Q96KQ7:EHMT2,8,15,15,"{'TCGA-CN-4723', 'TCGA-CQ-A4C9', 'TCGA-BA-6870', 'TCGA-D6-A6EM', 'TCGA-CQ-7065', 'TCGA-CQ-6225', 'TCGA-CR-6478', 'TCGA-BB-A5HU', 'TCGA-CV-7248', 'TCGA-BA-A6DI', 'TCGA-HD-8635', 'TCGA-HD-7229', 'TCGA-CV-A6JZ', 'TCGA-CQ-7063', 'TCGA-CV-6935'}",0,set(),0,set(),0.981
