TCGA,PROTEIN_A,GENE_A,PROTEIN_GENE_B,GENERAL_OCCURRENCE,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION
BRCA,P68431,H3C1,Q9UER7:DAXX,8,7,"{'TCGA-A2-A0EQ', 'TCGA-AN-A03Y', 'TCGA-BH-A42U', 'TCGA-AR-A0TX', 'TCGA-E9-A226', 'TCGA-AC-A23H', 'TCGA-OL-A5DA'}",0,set(),0,set()
BRCA,P68431,H3C1,P62805:H4C1,7,6,"{'TCGA-A2-A0EQ', 'TCGA-5L-AAT1', 'TCGA-E9-A226', 'TCGA-AC-A62X', 'TCGA-3C-AALI', 'TCGA-A8-A09I'}",8,"{'TCGA-A2-A0YM', 'TCGA-LL-A73Y', 'TCGA-D8-A1JA', 'TCGA-BH-A0H7', 'TCGA-BH-A1F0', 'TCGA-AR-A0TY', 'TCGA-AN-A0AT', 'TCGA-A8-A06Y'}",0,set()
BRCA,P68431,H3C1,P04908:H2AC4,4,4,"{'TCGA-A2-A0EQ', 'TCGA-E9-A226', 'TCGA-A2-A0SX', 'TCGA-3C-AALI'}",0,set(),0,set()
BRCA,P68431,H3C1,P16104:H2AX,4,4,"{'TCGA-A2-A0EQ', 'TCGA-E9-A226', 'TCGA-A2-A0SX', 'TCGA-3C-AALI'}",0,set(),0,set()
BRCA,P68431,H3C1,P0C0S8:H2AC11,4,4,"{'TCGA-A2-A0EQ', 'TCGA-E9-A226', 'TCGA-A2-A0SX', 'TCGA-3C-AALI'}",2,"{'TCGA-A2-A25E', 'TCGA-A8-A09Z'}",0,set()
BRCA,P68431,H3C1,O75367:MACROH2A1,4,4,"{'TCGA-A2-A0EQ', 'TCGA-E9-A226', 'TCGA-A2-A0SX', 'TCGA-3C-AALI'}",0,set(),0,set()
BRCA,P68431,H3C1,P0C0S5:H2AZ1,4,4,"{'TCGA-A2-A0EQ', 'TCGA-E9-A226', 'TCGA-A2-A0SX', 'TCGA-3C-AALI'}",0,set(),0,set()
BRCA,P68431,H3C1,Q16777:H2AC20,3,3,"{'TCGA-A2-A0EQ', 'TCGA-E9-A226', 'TCGA-3C-AALI'}",0,set(),0,set()
BRCA,P68431,H3C1,Q9Y294:ASF1A,3,3,"{'TCGA-AC-A23H', 'TCGA-OL-A5DA', 'TCGA-BH-A42U'}",0,set(),0,set()
BRCA,P68431,H3C1,Q9NVP2:ASF1B,3,3,"{'TCGA-AC-A23H', 'TCGA-OL-A5DA', 'TCGA-BH-A42U'}",0,set(),0,set()
BRCA,P68431,H3C1,P49450:CENPA,3,3,"{'TCGA-AC-A23H', 'TCGA-OL-A5DA', 'TCGA-BH-A42U'}",0,set(),0,set()
